"","INVENTORY_ID","province","notebook","class","subclass","PLOT_ID","IFN_TREE_ID","species","dead","expan","dbh","g","h","slenderness","bearing","distance","quality","shape","special_parameters","agent","importance","element"
"1","IFN3",49,5,"A","1","49_5","IFN3_49_5_0",43,0,31.8309886183791,12.75,127.676288937298,5.2,40.7843137254902,302,8.6,3,5,NA,316,2,9
"2","IFN3",49,5,"A","1","49_5","IFN3_49_5_1",43,0,14.1471060526129,28.25,626.796821776376,10.6,37.5221238938053,314,9,2,4,NA,100,NA,NA
"3","IFN3",49,5,"A","1","49_5","IFN3_49_5_2",43,0,31.8309886183791,21.4,359.680942909495,9.2,42.9906542056075,315,6,2,5,49,100,NA,NA
"4","IFN3",49,5,"A","1","49_5","IFN3_49_5_3",43,0,14.1471060526129,23.5,433.736135736241,11,46.8085106382979,316,6.7,2,4,49,100,NA,NA
"5","IFN3",49,5,"A","1","49_5","IFN3_49_5_0",43,0,31.8309886183791,19.85,309.464547837271,10.5,52.896725440806,351,7.9,2,4,49,100,NA,NA
"6","IFN3",49,6,"A","1","49_6","IFN3_49_6_1",25,0,31.8309886183791,16.1,203.583057934253,7.2,44.7204968944099,3,2.7,2,3,NA,100,NA,NA
"7","IFN3",49,6,"A","1","49_6","IFN3_49_6_2",21,0,127.323954473516,12.1,114.99014510302,7.2,59.504132231405,67,1.3,2,3,NA,100,NA,NA
"8","IFN3",49,6,"A","1","49_6","IFN3_49_6_0",21,0,31.8309886183791,18,254.469004940773,8.9,49.4444444444444,103,8.9,2,2,NA,100,NA,NA
"9","IFN3",49,6,"A","1","49_6","IFN3_49_6_3",21,0,31.8309886183791,17.25,233.705040995953,8,46.3768115942029,103,5.1,2,2,NA,100,NA,NA
"10","IFN3",49,6,"A","1","49_6","IFN3_49_6_0",21,0,31.8309886183791,14.1,156.145008865047,7.5,53.1914893617021,132,8.8,2,3,NA,100,NA,NA
"11","IFN3",49,6,"A","1","49_6","IFN3_49_6_0",25,0,31.8309886183791,15,176.714586764426,7.5,50,169,6.4,2,3,NA,100,NA,NA
"12","IFN3",49,6,"A","1","49_6","IFN3_49_6_4",25,0,31.8309886183791,13.6,145.267244301992,7,51.4705882352941,182,3.6,2,3,NA,100,NA,NA
"13","IFN3",49,6,"A","1","49_6","IFN3_49_6_0",21,0,31.8309886183791,14.95,175.538453014738,10,66.8896321070234,187,9,2,2,NA,100,NA,NA
