"","INVENTORY_ID","province","notebook","class","subclass","PLOT_ID","IFN_TREE_ID","species","dead","expan","dbh","g","h","slenderness","bearing","distance","quality","shape","special_parameters","agent","importance","element"
"1011469","IFN3",34,2,"A","1","34_2","IFN3_34_2_1",71,0,5.09295817894065,71.6,4026.39080854682,20,27.9329608938548,295,18.2,2,2,NA,100,NA,""
"1011470","IFN3",34,2,"A","1","34_2","IFN3_34_2_2",71,0,5.09295817894065,52.9,2197.86607443305,16,30.2457466918715,298,24.4,4,2,NA,300,2,"4"
"1011471","IFN3",34,2,"A","1","34_2","IFN3_34_2_3",71,0,14.1471060526129,40.8,1307.40519871793,22,53.921568627451,311,13.9,2,2,NA,100,NA,""
"1011472","IFN3",34,2,"A","1","34_2","IFN3_34_2_4",71,0,5.09295817894065,52,2123.7166338267,19.5,37.5,337,20.6,2,2,49,100,NA,""
"1011473","IFN3",34,3,"A","1","34_3","IFN3_34_3_1",71,0,14.1471060526129,25.3,502.725510409073,10.5,41.501976284585,13,9.9,3,2,49,310,1,"3"
"1011474","IFN3",34,3,"A","1","34_3","IFN3_34_3_0",71,0,31.8309886183791,13.5,143.138815279185,9,66.6666666666667,16,6,3,2,49,316,1,"9"
"1011475","IFN3",34,3,"A","1","34_3","IFN3_34_3_2",71,0,5.09295817894065,47.6,1779.5237426994,10,21.0084033613445,23,22.4,3,2,49,310,1,"4"
"1011476","IFN3",34,3,"A","1","34_3","IFN3_34_3_3",71,0,14.1471060526129,26.05,532.973157176917,11,42.2264875239923,25,12.5,2,2,49,100,NA,""
"1011477","IFN3",34,3,"A","1","34_3","IFN3_34_3_4",71,0,31.8309886183791,17,226.980069221863,10.5,61.7647058823529,32,7.5,2,2,49,100,NA,""
"1011478","IFN3",34,3,"A","1","34_3","IFN3_34_3_5",71,0,14.1471060526129,32.2,814.33223173701,11,34.1614906832298,44,14.9,2,2,49,100,NA,""
"1011479","IFN3",34,3,"A","1","34_3","IFN3_34_3_6",71,0,31.8309886183791,15.55,189.911239404911,10,64.3086816720257,45,10.1,2,2,49,100,NA,""
"1011480","IFN3",34,3,"A","1","34_3","IFN3_34_3_7",71,0,31.8309886183791,15.6,191.134497044403,10.5,67.3076923076923,56,4.6,2,2,49,100,NA,""
"1011481","IFN3",34,3,"A","1","34_3","IFN3_34_3_8",71,0,31.8309886183791,19.8,307.907495978336,11,55.5555555555556,62,4.8,2,2,49,100,NA,""
"1011482","IFN3",34,3,"A","1","34_3","IFN3_34_3_9",71,0,31.8309886183791,20.2,320.473866592695,10.5,51.980198019802,68,6,3,2,49,310,1,"3"
"1011483","IFN3",34,3,"A","1","34_3","IFN3_34_3_10",71,0,31.8309886183791,21.2,352.989350557349,11,51.8867924528302,68,5.6,2,2,49,100,NA,""
"1011484","IFN3",34,3,"A","1","34_3","IFN3_34_3_11",71,0,5.09295817894065,45.05,1593.96753611053,11,24.4173140954495,70,19.3,3,2,49,310,1,"4"
"1011485","IFN3",34,3,"A","1","34_3","IFN3_34_3_12",71,0,14.1471060526129,34.35,926.708964451326,9.5,27.6564774381368,82,14,3,2,49,310,1,"4"
"1011486","IFN3",34,3,"A","1","34_3","IFN3_34_3_13",71,0,31.8309886183791,14.5,165.129963854314,9,62.0689655172414,96,8.5,2,2,49,100,NA,""
"1011487","IFN3",34,3,"A","1","34_3","IFN3_34_3_14",71,0,31.8309886183791,14.75,170.873187924157,9,61.0169491525424,117,4.9,2,2,419,100,NA,""
"1011488","IFN3",34,3,"A","1","34_3","IFN3_34_3_15",71,0,31.8309886183791,21.3,356.327292751788,10,46.9483568075117,129,5.2,2,2,49,100,NA,""
"1011489","IFN3",34,3,"A","1","34_3","IFN3_34_3_0",71,0,31.8309886183791,12.9,130.698108370969,7,54.2635658914729,149,7.4,3,3,49,310,1,"3"
"1011490","IFN3",34,3,"A","1","34_3","IFN3_34_3_16",71,0,31.8309886183791,17.25,233.705040995953,9,52.1739130434783,151,8.2,2,2,49,100,NA,""
"1011491","IFN3",34,3,"A","1","34_3","IFN3_34_3_17",71,0,31.8309886183791,16.25,207.394202522139,9,55.3846153846154,156,7.4,3,2,49,310,1,"3"
"1011492","IFN3",34,3,"A","1","34_3","IFN3_34_3_18",71,0,14.1471060526129,25.25,500.740416551086,10,39.6039603960396,158,7.3,2,2,49,100,NA,""
"1011493","IFN3",34,3,"A","1","34_3","IFN3_34_3_19",71,0,31.8309886183791,15.85,197.309690104115,9,56.782334384858,169,8.7,3,2,419,310,1,"4"
"1011494","IFN3",34,3,"A","1","34_3","IFN3_34_3_20",71,0,14.1471060526129,24.55,473.361436575051,10.5,42.7698574338086,190,5.5,2,2,NA,100,NA,""
"1011495","IFN3",34,3,"A","1","34_3","IFN3_34_3_21",71,0,14.1471060526129,23.35,428.216750142965,10,42.8265524625268,191,8.5,2,2,41,100,NA,""
"1011496","IFN3",34,3,"A","1","34_3","IFN3_34_3_22",71,0,31.8309886183791,16.8,221.670777637296,8.5,50.5952380952381,225,7.7,3,2,NA,310,1,"3"
"1011497","IFN3",34,3,"A","1","34_3","IFN3_34_3_23",71,0,14.1471060526129,42.15,1395.35604855058,10.5,24.9110320284698,235,13.2,2,2,49,100,NA,""
"1011498","IFN3",34,3,"A","1","34_3","IFN3_34_3_24",71,0,14.1471060526129,28.95,658.24416423881,10,34.5423143350605,240,9.6,2,2,49,100,NA,""
"1011499","IFN3",34,3,"A","1","34_3","IFN3_34_3_25",71,0,14.1471060526129,27.9,611.361784370208,12,43.010752688172,241,8.9,2,2,49,100,NA,""
"1011500","IFN3",34,3,"A","1","34_3","IFN3_34_3_26",71,0,14.1471060526129,31.75,791.73043608984,12,37.7952755905512,270,12.4,3,2,49,310,1,"3"
"1011501","IFN3",34,3,"A","1","34_3","IFN3_34_3_27",71,0,31.8309886183791,15.15,180.266549958391,10,66.006600660066,282,8.1,3,2,49,316,1,"9"
"1011502","IFN3",34,3,"A","1","34_3","IFN3_34_3_0",65,0,31.8309886183791,14.05,155.039560950065,8.5,60.4982206405694,284,5.6,2,2,NA,100,NA,""
"1011503","IFN3",34,3,"A","1","34_3","IFN3_34_3_28",71,0,14.1471060526129,28.3,629.017535083382,10.5,37.1024734982332,302,6.6,3,2,419,310,1,"4"
"1011504","IFN3",34,3,"A","1","34_3","IFN3_34_3_29",71,0,14.1471060526129,30,706.858347057703,10,33.3333333333333,302,5.5,3,2,49,310,1,"4"
"1011505","IFN3",34,3,"A","1","34_3","IFN3_34_3_30",71,0,14.1471060526129,25.35,504.714531257877,13,51.2820512820513,302,3.6,2,2,49,100,NA,""
"1011506","IFN3",34,3,"A","1","34_3","IFN3_34_3_31",71,0,14.1471060526129,41.2,1333.16625847736,12,29.126213592233,302,2.5,3,2,49,310,1,"3"
"1011507","IFN3",34,3,"A","1","34_3","IFN3_34_3_32",71,0,14.1471060526129,37.8,1122.20831178881,11,29.1005291005291,316,6,3,2,49,310,1,"3"
"1011508","IFN3",34,3,"A","1","34_3","IFN3_34_3_33",71,0,31.8309886183791,19.65,303.259902346431,8.5,43.2569974554707,324,4.1,3,2,49,316,1,"9"
